"ID","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"7268202","FABRICACIÓN DE RESINAS DE PLÁSTICOS RECICLADOS",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","CARLOS AUGUSTO LINDBERGH","CALZADA","GENERAL IGNACIO ZARAGOZA","CALLE","ROBERTO FIERRO","CALLE","ALBERTO BRANIFF","25",,,,,,"COLONIA","AVIACION CIVIL",,,,"15740","09","CIUDAD DE MÉXICO","017","Venustiano Carranza","0001","Venustiano Carranza","1295","023",,,,"Fijo","19.41134257","-99.07914534","2019-11"
"8139112","FABRICACIÓN DE RESINAS DE PLÁSTICOS RECICLADOS",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","MOCTEZUMA","AVENIDA","CIRCUNVALACION","CALLE","JOSE FLORES","CALLE","EJIDO","1117",,,,"0",,"COLONIA","SANTA MARIA AZTAHUACAN",,,,"09500","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","1706","007","5532108568",,,"Fijo","19.35052571","-99.02982061","2019-11"
"8306144","MANUFACTURA DE PLASTICO",,"325993","Fabricación de resinas de plásticos reciclados","6 a 10 personas","AVENIDA","IGNACIO ALDAMA","CALLE","JARDIN TULIPANES","CALLE","JARDIN PENSAMIENTOS","AVENIDA","EMILIANO ZAPATA","3","MANZANA 23",,,"0",,"COLONIA","JARDINES DE SAN LORENZO TEZONCO",,,,"09940","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","3539","003",,"POLYHONS@MSN.COM",,"Fijo","19.29413636","-99.07355258","2019-11"
"1044909","MAQUILA DE PLASTICO SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","11 a 30 personas","CALLE","OLIVOS","AVENIDA","RENO","AVENIDA","TLAHUAC","CALLE","ESCORPENA","106",,,,"0",,"COLONIA","LOS OLIVOS",,,,"13210","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","0058","001",,,,"Fijo","19.3019621","-99.06264022","2010-07"
"844497","MAQUILADORA DE PLASTICO SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","TEZONTLAL","CALLE","PINO","CALLE","SICOMOROS (CEDROS)","CALLE","PIRUL","10",,,,,,"COLONIA","SANJOSE BUENA VISTA",,,,"09706","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","4109","041","5554288613",,,"Fijo","19.3244871","-99.03132753","2010-07"
"841442","MATERIAS PRIMAS GAYTAN",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","JARDIN HORTENSIAS","AVENIDA","IGNACIO ALDAMA","AVENIDA","EMILIANO ZAPATA","CALLE","JARDÍN DALIAS","34","MANZANA  15",,,,,"COLONIA","JARDINES DE SAN LORENZO TEZONCO",,,,"09940","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","351A","019",,,,"Fijo","19.2961401","-99.07485473","2010-07"
"1051934","MOLINO DE PLASTICOS SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","CALLEJON CIPRES","AVENIDA","TLAHUAC","CALLE","CIPRES","CALLE","HERNÁN CORTÉS","3",,,,,,"PUEBLO","SANTIAGO ZAPOTITLAN",,,,"13300","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","0039","006",,,,"Fijo","19.2977755","-99.03938065","2010-07"
"8441879","PLASTICO RALEX","PLASTICO RALEX SA DE CV","325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","AUGUSTO RODIN","EJE VIAL","5 SUR (AVENIDA SAN ANTONIO)","CALLE","PLAZA JOSE CLEMENTE OROZCO","EJE VIAL","5 SUR (AVENIDA SAN ANTONIO)","299",,,,"4","PISO","COLONIA","CIUDAD DE LOS DEPORTES",,,,"03710","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0562","017",,,"WWW.PLASTIMADERA.COM","Fijo","19.38494502","-99.18090292","2019-11"
"907307","PLASTICOS CRUZALEY",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","CICALCO","CALLE","ZIHUATLAN","CALLE","NUSTEPEC","CALLE","CANAHUTLI","365",,,,,,"COLONIA","PEDREGAL DE SANTO DOMINGO",,,,"04369","09","CIUDAD DE MÉXICO","003","Coyoacán","0001","Coyoacán","079A","008","5556197138",,,"Fijo","19.31783306","-99.16822851","2014-12"
"6715765","PLASTICOS PELLETIZADOS ","PLASTICOS Y PELLETIZADOS SA DE CV","325993","Fabricación de resinas de plásticos reciclados","51 a 100 personas","CALLE","SANTO DOMINGO","EJE VIAL","3 NORTE (CALZADA SAN ISIDRO)","EJE VIAL","3 NORTE (TOCHTLI)","CALLE","REY MAXTLA","102",,,,,"B","COLONIA","INDUSTRIAL SAN ANTONIO",,,,"02760","09","CIUDAD DE MÉXICO","002","Azcapotzalco","0001","Azcapotzalco","1023","002","17421967","COMPRAS@PLASTIPELLETS.COM",,"Fijo","19.47960478","-99.19414537","2016-01"
"1049007","PLASTIVISA",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CERRADA","PRIMERA REVOLUCION","CALLE","FRANCISCO JIMENEZ","CALLE","ONOFRE CAPETO","CALLE","FRANCISCO JIMÉNEZ","13","MZ 128",,,,,"COLONIA","COCHINITA A",,,,"13360","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","0931","014","5554283776",,,"Fijo","19.28341424","-99.03678087","2010-07"
"7721073","PROCESADORA DE PLASTICO",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CERRADA","BELISARIO DOMINGUEZ","CERRADA","BELISARIO DOMINGUEZ","CALLE","BELISARIO DOMINGUEZ","CALLE","LA AMISTAD","24",,,,,,"UNIDAD HABITACIONAL","MIGUEL HIDALGO",,,,"13100","09","CIUDAD DE MÉXICO","011","Tláhuac","0026","Santa Catarina Yecahuitzotl","0965","016",,,,"Fijo","19.31251945","-98.97087183","2019-11"
"900956","PRODISPLAY RODY",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","BOLIVAR","CALLE","JOSE TORIBIO MEDINA","VIADUCTO","PRESIDENTE MIGUEL ALEMAN","VIADUCTO","PRESIDENTE MIGUEL ALEMÁN","526",,,,,"C","COLONIA","ALGARIN",,,,"06880","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc","1498","005",,,,"Fijo","19.40412841","-99.14253646","2014-12"
"1050548","RECICLADO DE PLASTICO",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLEJON","LAZARO CARDENAS","CALLE","CAALE    MAXIMINO LUGO","CALLE","EJIDO","AVENIDA","FERROCARRIL SAN RAFAEL ATLIXCO","6",,,,,,"COLONIA","LAS PUERTAS",,,,"13440","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","0132","001",,,"GARZA.ABEL.GARZAQHOTMAIL","Fijo","19.29298214","-99.01954498","2014-12"
"792149","RECICLADO DE PLASTICO",,"325993","Fabricación de resinas de plásticos reciclados","6 a 10 personas","CALLE","BENITO JUAREZ","CERRADA","SEGUNDA BENITO JUAREZ","CALLE","PROFESOR OTILIO MONTAÑO","CALLE","PROFESOR OTILIO MONTAÑO","12",,,,,,"COLONIA","SANTA MARIA AZTAHUACAN",,,,"09570","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","1087","021",,,,"Fijo","19.36227026","-99.03690136","2010-07"
"7613517","RECICLADO DE PLASTICO",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CERRADA","SEGUNDA DE ALAMOS","CALLE","ALAMOS","CALLE","VIRGEN DEL COBRE","CERRADA","ORQUÍDEA",,"SN",,,,,"COLONIA","TEMPILULI",,,,"13363","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","1535","011",,,,"Fijo","19.2768815","-99.02799183","2019-11"
"7613632","RECICLADO DE PLASTICO SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","JAZMIN","CERRADA","SEGUNDA DE JAZMIN","AVENIDA","LAS TORRES","CALLE","AVENIDA DE LAS FLORES",,"SN",,,,,"COLONIA","TEMPILULI",,,,"13363","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","1535","002",,,,"Fijo","19.27728437","-99.0255521","2019-11"
"7613687","RECICLADO DE PLASTICO SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","AVENIDA DE LAS FLORES","CERRADA","AZUCENA","CERRADA","ALCATRAZ","CALLE","LIBERTAD",,"SN",,,,,"COLONIA","TEMPILULI",,,,"13363","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","1395","001",,,,"Fijo","19.27953833","-99.02706288","2019-11"
"7613691","RECICLADO DE PLASTICO SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","PIRUL","CALLE","TERCERA CERRADA PIRUL","CALLE","LIBERTAD","CALLEJON","NINGUNO",,"SN",,,,,"COLONIA","TEMPILULI",,,,"13363","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","1395","007",,,,"Fijo","19.2809234","-99.02946158","2019-11"
"7613513","RECICLADO DE PLASTICO SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","CERRADA CLAVEL","CALLE","LORENZO PEREZ CASTRO","CALLE","EMILIO LAURENT","CALLE","NARDO","33",,,,,,"COLONIA","AMPLIACION LA CONCHITA",,,,"13360","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","1380","047",,,,"Fijo","19.27593339","-99.03410538","2019-11"
"7613637","RECICLADO DE PLASTICO SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","AVENIDA DE LAS FLORES","CERRADA","GIRASOL","AVENIDA","LAS TORRES","CALLE","LIBERTAD",,"SN",,,,,"COLONIA","TEMPILULI",,,,"13363","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","1395","001",,,,"Fijo","19.27928878","-99.02630757","2019-11"
"730850","RECICLADO DE PLASTICOS LEE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","EMILIANO ZAPATA","CALLE","FRANCISCO VILLA","CALLE","AQUILES SERDAN","CALLE","ABRAHAM GONZÁLEZ","58",,,,,,"COLONIA","Z.U SANTA MARIA AZTAHUACAN",,,,"09570","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","1091","023",,,,"Fijo","19.35817336","-99.03503744","2014-12"
"8613133","RECICLADORA DE PLASTICO",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","RANCHO DE LA ESPIGA","CALLE","LOPEZ PORTILLO","CALLE","TOMACOCO","CALLE","FRESNO","5","MZ 49",,,,,"COLONIA","SAN MIGUEL TEOTONGO SECCION CORRALES",,,,"09630","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","294A","009",,,,"Semifijo","19.34427375","-98.9882499","2019-11"
"8782765","RECICLADORA DE PLASTICO",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","VENUSTIANO CARRANZA","CALLE","FELIPE ÁNGELES","CALLE","FILOMENO MATA","CALLE","AQUILES SERDÁN","3","MZ",,,"0",,"COLONIA","EJIDOS SANTA MARIA AZTAHUACAN",,,,"09500","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","1513","026",,,,"Fijo","19.35224098","-99.03425206","2019-11"
"7613807","RECICLADORA DE PLASTICO",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","PIRUL","CALLE","CEDROS","CALLE","TERCERA CERRADA PIRUL","PRIVADA","LUIS ECHEVERRÍA","0","SN",,,"0",,"COLONIA","TEMPILULI",,,,"13363","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","1395","003",,,,"Fijo","19.28031604","-99.02959989","2019-11"
"7613634","RECICLADORA DE PLASTICO SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","AVENIDA DE LAS FLORES","CALLE","FRESNO","AVENIDA","LAS TORRES","CALLE","JAZMÍN",,"SN",,,,,"COLONIA","TEMPILULI",,,,"13363","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","1535","002",,,,"Fijo","19.27904567","-99.02573133","2019-11"
"7612744","RECICLADORA DE PLASTICO SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","BUGAMBILIAS","CALLE","FRANCISCO JIMENEZ","CALLE","SEBASTIAN TREJO","CALLE","TULIPÁN",,"SN",,,,,"COLONIA","AMPLIACION LA CONCHITA",,,,"13360","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","1450","021",,,,"Fijo","19.27955382","-99.03635927","2019-11"
"792918","RECICLADORA GLOBAL PLASTIC","GLOBAL PLASTIC SA DE CV","325993","Fabricación de resinas de plásticos reciclados","51 a 100 personas","CALLE","BENITO JUAREZ","AVENIDA","HERMINIO CHAVARRIA","CALLE","EMILIANO ZAPATA","CALLE","MIGUEL HIDALGO","50",,,,,,"COLONIA","ZONA URBANA EJIDAL SANTA MARIA AZTAHUACAN",,,,"09500","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","1087","013",,,"WWW.GLOBALPLASTICS.COM.MX","Fijo","19.35759612","-99.03762641","2010-07"
"735012","RECICLAJE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","PRIVADA","REFORMA CIENTIFICA","CALLE","REFORMA","CALLE","REFORMA CIENTIFICA","CALLE","REFORMA POPULAR","278",,"EDIFICIO SIN NOMBRE","4",,,"COLONIA","REFORMA POLITICA",,,,"09730","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","2901","001","5513472349",,,"Fijo","19.33690569","-99.02999824","2014-12"
"7613009","RECICLAJE DE PLASTICO SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","TERCERA CERRADA MACLOVIO HERRERA","CALLE","LA PALMA","CALLE","MACLOVIO HERRERA","CALLE","SAN RAFAEL ATLIXCO",,"SN",,,,,"COLONIA","SANTIAGO ZAPOTITLAN",,,,"13300","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","1412","014",,,,"Fijo","19.30532737","-99.03129632","2019-11"
"8602198","RECICLAJE DE PLASTICOS",,"325993","Fabricación de resinas de plásticos reciclados","11 a 30 personas","PRIVADA","SAN CELSO","CALLE","SAN LEON","CALLE","SAN BENJAMIN","CALLE","SAN LEÓN",,"SN",,,,"MZ 932 LOTE 9","COLONIA","SANTA URSULA COAPA",,,,"04600","09","CIUDAD DE MÉXICO","003","Coyoacán","0001","Coyoacán","0982","022",,,,"Fijo","19.31140757","-99.14937607","2019-11"
"664437","RECUBRIMIENTOS ECOLÓGICOS Y RECICLADOS","RECUBRIMIENTOS ECOLOGICOS Y RECICLADOS SA DE CV","325510","Fabricación de pinturas y recubrimientos","11 a 30 personas","CALLE","1","CALLE","ESTRONCIO","AVENIDA","PROLONGACION RIO CHURUBUSCO","CALLE","2","393","PB","EDIFICIO SIN NOMBRE","1",,,"COLONIA","CUCHILLA PANTITLAN",,,,"15610","09","CIUDAD DE MÉXICO","017","Venustiano Carranza","0001","Venustiano Carranza","0884","018",,"MPRADO@A3P.MX","WWW.A3P.MX","Fijo","19.42277586","-99.06760789","2013-07"
"7613693","SEPARADORA DE RESIDUOS PLASTCOS",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","ÁLAMOS","CALLE","JAZMÍN","CALLE","TULIPÁN","CALLE","OLIVOS","0","SN",,,"0",,"COLONIA","TEMPILULI",,,,"13363","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","1535","011",,,,"Fijo","19.27799137","-99.02792172","2019-11"
"8711921","TALLER DE RECICLADO SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CERRADA","ADRIANA DEL SUR","CALLE","JACOBO DE LIEJA","CALLE","GUILLERMO DUFAY","CALLE","ANA BOLENA","13","MZ 22",,,,,"COLONIA","AGRICOLA METROPOLITANA",,,,"13280","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","0664","018",,,,"Fijo","19.29166501","-99.05484197","2019-11"
"7832083","TYCSA",,"325993","Fabricación de resinas de plásticos reciclados","6 a 10 personas","CERRADA","TERCERA","CALLE","CANAL DE SAN JUAN","CERRADA","SEGUNDA CANAL DE SAN JUAN","CERRADA","SEGUNDA CENTRAL","2",,,,,,"COLONIA","TEPALCATES",,,,"09210","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","0021","004",,,,"Fijo","19.39315017","-99.05898226","2019-11"
"8602129","VENTA DE MADERA RECICLADA",,"321920","Fabricación de productos para embalaje y envases de madera","0 a 5 personas","CALLE","SISAL","CALLE","SINANCHE","CALLE","CHEMAX","AVENIDA","MANÍ",,"SN",,,"747","LT 13","COLONIA","PEDREGAL DE SAN NOCOLAS 1RA SECC",,,,"14100","09","CIUDAD DE MÉXICO","012","Tlalpan","0001","Tlalpan","0500","007",,,,"Fijo","19.29155398","-99.2385331","2019-11"
"842720","VIVIENDA USO EXCLUSIVO DESECHOS INDUSTRIALES",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","AVENIDA DE LAS TORRES","CALLE","TORRE EIFEL","AVENIDA","AVENIDA DE LAS MINAS","CALLE","TORRE EIFEL","1","25",,,"0",,"COLONIA","BUENAVISTA",,,,"09700","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","3223","011",,,,"Fijo","19.33308069","-99.03021766","2010-07"
"905232","LÁMPARAS DE MATERIAL RECICLADO",,"335120","Fabricación de lámparas ornamentales","0 a 5 personas","CALLE","FELIPE CARRILLO PUERTO","ANDADOR","JARDIN DEL CENTENARIO","CALLE","BELISARIO DOMINGUEZ","CALLE","CENTENARIO","25",,"MERCADO PUBLICO","1","112",,"COLONIA","VILLA COYOCAN","MERCADO PUBLICO","MERCADO ARTESANAL MEXICANO","112","04000","09","CIUDAD DE MÉXICO","003","Coyoacán","0001","Coyoacán","0130","020",,"TONANZA1973@GMAIL.COM",,"Semifijo","19.34999428","-99.16298672","2014-12"
"8507678","TECHADOS Y RECICLADOS VOT",,"335120","Fabricación de lámparas ornamentales","6 a 10 personas","CALLE","CORONA BOREAL","CALLE","OSA MAYOR","CALLE","CERRO CAPILLA DE SAN MIGUEL","CALLE","DRAGÓN","94","BIS",,,"0",,"COLONIA","PRADO CHURUBUSCO",,,,"04230","09","CIUDAD DE MÉXICO","003","Coyoacán","0001","Coyoacán","0094","011",,,,"Fijo","19.35520261","-99.13147147","2019-11"
"8616667","ARCEMA MATERIAL DE CONSTRUCCIÓN","AUTOTRANSPORTES Y RECICLADOS CEMA SA DE CV","434211","Comercio al por mayor de cemento, tabique y grava","11 a 30 personas","CALLE","CERRO TEZOYO","CALLE","CERRO DE JESUS","CALLE","CERRO DE ZAPOPAN","CALLE","CERRO CÓPORO","50",,,,,,"COLONIA","CAMPESTRE CHURUBUSCO",,,,"04200","09","CIUDAD DE MÉXICO","003","Coyoacán","0001","Coyoacán","0183","019",,"FACTURACION@ARCEMA.COM.MX",,"Fijo","19.3431162","-99.13721512","2019-11"
"7715012","BODEGA DE FABRICA DE PRODUCTOS DE LLANTA RECICLADOS",,"434229","Comercio al por mayor de otras materias primas para otras industrias","6 a 10 personas","CALLE","PONIENTE 9","AVENIDA","CUCHILLA DEL TESORO","AVENIDA","602 (AVENIDA TEXCOCO-VIA TAPO)","CALLE","PONIENTE 10","12","LT MZ 10",,,,,"COLONIA","CUCHILLA DEL TESORO",,,,"07900","09","CIUDAD DE MÉXICO","005","Gustavo A. Madero","0001","Gustavo A. Madero","2470","001",,,,"Fijo","19.44708576","-99.06209683","2019-11"
"851754","BODEGA DE MATERIAL PARA RECICLADO SIN NOMBRE",,"434311","Comercio al por mayor de desechos metálicos","0 a 5 personas","CALLE","CEDROS","CALLE","ABEDUL","CALLE","CAOBA","CALLE","SABINOS",,"SN",,,"5","MZ 31 LT 5","COLONIA","BOSQUES DEL PEDREGAL",,,,"14738","09","CIUDAD DE MÉXICO","012","Tlalpan","0001","Tlalpan","1509","001",,,,"Fijo","19.27228854","-99.23943606","2010-07"
"9221557","BODEGA DE PLASTICOS DE LLANTA RECICLADA",,"434219","Comercio al por mayor de otros materiales para la construcción, excepto de madera y metálicos","0 a 5 personas","CALLE","PONIENTE 10","AVENIDA","CUCHILLA DEL TESORO","AVENIDA","602 (AVENIDA TEXCOCO-VIA TAPO)","CALLE","PONIENTE 9","17","LT MZ 10",,,,,"COLONIA","CUCHILLA DEL TESORO",,,,"07900","09","CIUDAD DE MÉXICO","005","Gustavo A. Madero","0001","Gustavo A. Madero","2470","001",,,,"Fijo","19.44684344","-99.06244621","2019-11"
